Date,Open,High,Low,Close,Adj Close,Volume
2009.12.31,310.356445,310.679321,307.986847,307.986847,307.986847,2455400
2010.1.4,311.44931,312.721039,310.103088,311.349976,311.349976,3937800
2010.1.5,311.563568,311.891449,308.76181,309.978882,309.978882,6048500
2010.1.6,310.907837,310.907837,301.220856,302.164703,302.164703,8009000
2010.1.7,302.731018,303.029083,294.410156,295.130463,295.130463,12912000
2010.1.8,294.08725,299.675903,292.651581,299.06488,299.06488,9509900
2010.1.11,300.276978,300.276978,295.100647,298.612823,298.612823,14519600
2010.1.12,296.893982,297.147339,292.100159,293.332153,293.332153,9769600
2010.1.13,286.382355,292.28894,285.095734,291.648102,291.648102,13077600
2010.1.14,290.063416,295.180145,289.521942,293.019196,293.019196,8535300
2010.1.15,294.75293,294.862213,287.152344,288.126007,288.126007,10939600
2010.1.19,288.722137,293.302338,286.28302,291.911407,291.911407,8689500
2010.1.20,291.09671,291.09671,285.786224,288.329681,288.329681,6543600
2010.1.21,289.8349,291.513977,284.276062,289.606384,289.606384,12697400
2010.1.22,280.426086,283.45639,265.701874,273.227905,273.227905,13689200
2010.1.25,271.528961,273.16333,266.02478,268.255249,268.255249,8897200
2010.1.26,267.246826,273.024231,266.412231,269.457428,269.457428,8767600
2010.1.27,268.886169,272.055542,265.925415,269.298462,269.298462,7980200
2010.1.28,270.485748,271.732635,263.585632,265.418701,265.418701,6500100
2010.1.29,267.505127,268.74707,261.10675,263.257751,263.257751,8334700
2010.2.1,265.572693,266.173798,263.436584,264.787811,264.787811,4530800
2010.2.2,265.751556,265.751556,262.100281,263.843964,263.843964,8245600
2010.2.3,262.626862,269.298462,262.408295,268.662598,268.662598,6037000
2010.2.4,266.764954,267.261719,261.081909,261.687958,261.687958,6799200
2010.2.5,262.492737,265.026245,259.541931,263.928406,263.928406,6353000
2010.2.8,264.52948,269.24881,264.047638,265.011353,265.011353,5423500
2010.2.9,268.026733,269.01532,265.806183,266.486755,266.486755,5675700
2010.2.10,265.309418,267.15741,262.140045,265.498199,265.498199,5383700
2010.2.11,264.936829,268.498688,263.039185,266.466888,266.466888,4851300
2010.2.12,264.76297,266.839478,263.53595,264.837494,264.837494,4589000
2010.2.16,266.700378,270.306915,265.423676,268.901062,268.901062,7356200
